Hotel_Name,Rating,Comments,No_of_reviews,Price,Gst
OYO Flagship 81293 Hotel Arya Residency,10,Exceptional,1 review,"₹4,607",+₹809 taxes and charges
OYO Flagship 3402 Imperial Oak Near Kingdom Of Dreams,7.0,Good,1 review,"₹5,200",+₹880 taxes and charges
Flagship Green Residency,7.0,Good,3 reviews,"₹5,878",+₹961 taxes and charges
Flagship Maurya Residency,8.0,Very Good,10 reviews,"₹5,894",+₹963 taxes and charges
Flagship Hotel Tremento,7.0,Good,3 reviews,"₹6,040",+₹981 taxes and charges
OYO Flagship 81176 Himalaya Inn,7.0,Good,3 reviews,"₹6,041",+₹981 taxes and charges
OYO Home White Rose Residency Near Omaxe Celebration Mall,7.7,Good,3 reviews,"₹6,993","+₹1,031 taxes and charges"
Collection O The Sky Hotel,7.0,Good,3 reviews,"₹6,994","+₹1,095 taxes and charges"
Super OYO Shiva The Midas Farm,10,Exceptional,4 reviews,"₹7,093","+₹1,107 taxes and charges"
Roomshala 090 Hotel LS21 - Sector 46,7.0,Good,5 reviews,"₹7,680",+₹922 taxes and charges
"NUAB House - Near Fortis, MAX, MEDANTA, Paras Hospitals and HUDA Metro",7.3,Good,236 reviews,"₹8,000",+₹960 taxes and charges
Super OYO Star Corporate Suite Near Omaxe Celebration Mall,8.0,Very Good,1 review,"₹9,116","+₹1,286 taxes and charges"
FabHotel Pacific Homes,7.8,Good,22 reviews,"₹10,032","+₹1,204 taxes and charges"
Super OYO Townhouse 76608 Avenue 64 Near World Mark mall,7.5,Good,8 reviews,"₹10,109","+₹1,469 taxes and charges"
FabExpress Primero I,8.2,Very Good,15 reviews,"₹10,140","+₹1,217 taxes and charges"
Treebo Trend Sai Village Manesar,8.5,Very Good,14 reviews,"₹10,158","+₹1,219 taxes and charges"
Saltstayz Studio Apartment - Near Artemis &amp; Medanta Hospital,8.1,Very Good,61 reviews,"₹10,185","+₹1,222 taxes and charges"
Dev Residency,9.0,Wonderful,2 reviews,"₹10,392","+₹1,247 taxes and charges"
FabHotel Kiara,8.4,Very Good,340 reviews,"₹10,435","+₹1,252 taxes and charges"
Hotel Singh Residency Medanta,9.3,Wonderful,3 reviews,"₹10,541","+₹1,265 taxes and charges"
FabHotel Star Corporate Suite II,7.5,Good,26 reviews,"₹10,562","+₹1,267 taxes and charges"
FabHotel Wedding Bliss 38,7.2,Good,18 reviews,"₹10,564","+₹1,268 taxes and charges"
Super OYO TOWNHOUSE 1184 N STAY HUDA CITY CENTER,7.2,Good,5 reviews,"₹11,221","+₹1,603 taxes and charges"
FabHotel Kiara The Private Suites,8.6,Excellent,153 reviews,"₹11,440","+₹1,373 taxes and charges"
FabHotel Vikings,7.1,Good,29 reviews,"₹11,440","+₹1,373 taxes and charges"
Arkaya Inn,7.9,Good,78 reviews,"₹11,592","+₹1,391 taxes and charges"
Mi Casa Sector 47,8.8,Excellent,76 reviews,"₹11,596","+₹1,392 taxes and charges"
Mavens White Artemis Hospital Road Sector 52 Gurgaon,8.2,Very Good,236 reviews,"₹11,693","+₹1,403 taxes and charges"
FabHotel Tanvi Premium,9.0,Wonderful,3 reviews,"₹11,703","+₹1,404 taxes and charges"
FabHotel Water Vibe,7.8,Good,14 reviews,"₹11,778","+₹1,413 taxes and charges"
Octave Nirvana Suites,9.4,Wonderful,7 reviews,"₹11,900","+₹1,428 taxes and charges"
Hotel Mavens Orange Gurgaon,8.2,Very Good,516 reviews,"₹11,961","+₹1,435 taxes and charges"
FabExpress Primero II,7.1,Good,11 reviews,"₹12,014","+₹1,762 taxes and charges"
"Super OYO Townhouse 398 Cloud Bay, Near Genpact, Sector-69, Gurgaon",7.5,Good,47 reviews,"₹12,134","+₹1,712 taxes and charges"
SaltStayz Sector 39 - Subhash Chowk,8.2,Very Good,274 reviews,"₹12,156","+₹1,459 taxes and charges"
FabHotel AB Inn,7.2,Good,10 reviews,"₹12,324","+₹1,479 taxes and charges"
FabHotel Elite 39,7.4,Good,14 reviews,"₹12,324","+₹1,959 taxes and charges"
FabHotel Golden Leaf,7.6,Good,10 reviews,"₹12,324","+₹1,479 taxes and charges"
FabHotel Aroma Luxuries,7.1,Good,9 reviews,"₹12,873","+₹1,545 taxes and charges"
Lime Tree Studio Huda Metro,7.7,Good,7 reviews,"₹12,954","+₹1,554 taxes and charges"
Amahi Inn - Sector 48,9.2,Wonderful,29 reviews,"₹12,960","+₹1,555 taxes and charges"
THE REJOICE VENTURE,9.2,Wonderful,5 reviews,"₹13,104","+₹1,572 taxes and charges"
FabHotel Star Corporate Suite,7.6,Good,27 reviews,"₹13,200","+₹1,584 taxes and charges"
FabHotel Skylight Inn,7.6,Good,122 reviews,"₹13,204","+₹1,584 taxes and charges"
Saltstayz - Sohna Road,7.8,Good,200 reviews,"₹13,227","+₹1,587 taxes and charges"
Octave Orchid Vista,8.1,Very Good,39 reviews,"₹13,250","+₹1,590 taxes and charges"
FabHotel Emoji Stays,8.2,Very Good,229 reviews,"₹13,439","+₹1,613 taxes and charges"
The Palm Suites - Medicity,7.9,Good,25 reviews,"₹13,440","+₹1,613 taxes and charges"
"Pamposh Guest House, Gurgaon",7.6,Good,8 reviews,"₹13,600",Includes taxes and fees
Hotel The Luxem at Golf Course Road,8.6,Excellent,91 reviews,"₹13,929","+₹1,671 taxes and charges"
FabHotel Rivlet Inn,9.0,Wonderful,5 reviews,"₹14,076","+₹1,689 taxes and charges"
FabHotel Staywell,7.9,Good,97 reviews,"₹14,076","+₹1,689 taxes and charges"
FabHotel Aravali Suites,8.4,Very Good,99 reviews,"₹14,076","+₹1,689 taxes and charges"
Flamingo Hotel Sector 67,7.2,Good,6 reviews,"₹14,080","+₹1,690 taxes and charges"
FabHotel Premium,8.2,Very Good,17 reviews,"₹14,080","+₹1,690 taxes and charges"
FabHotel Destiny Inn,7.0,Good,48 reviews,"₹14,214","+₹1,706 taxes and charges"
Windchime 853,8.1,Very Good,10 reviews,"₹14,400","+₹1,728 taxes and charges"
AVENUE 64,7.2,Good,33 reviews,"₹14,592","+₹1,751 taxes and charges"
Octave Golfcourse Inn,7.9,Good,57 reviews,"₹14,850","+₹1,782 taxes and charges"
FabHotel Premium Nest,8.3,Very Good,630 reviews,"₹14,876","+₹1,785 taxes and charges"
Treebo Trend Ivory Cottage Sector 52,7.2,Good,20 reviews,"₹14,906","+₹1,789 taxes and charges"
FabHotel 52 Ivory,7.2,Good,13 reviews,"₹14,960","+₹2,358 taxes and charges"
FabHotel Golf Elite,7.6,Good,5 reviews,"₹14,964","+₹2,052 taxes and charges"
FabHotel SR 68,7.8,Good,6 reviews,"₹14,964","+₹1,796 taxes and charges"
